Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
28.4400,200.2075,200.1024,3077.3611,16.8000,0.0000,23.2250
28.5600,200.2052,200.1079,3077.3611,0.0000,0.0000,23.2250
28.6800,200.2029,200.1133,3077.3611,0.0000,0.0000,23.2250
28.8000,200.2005,200.1188,3077.3611,0.0000,0.0000,23.2250
28.9200,200.1986,200.1233,3077.3611,8.4000,0.0000,23.5324
29.0400,200.1967,200.1277,3077.3611,0.0000,0.0000,23.5324
29.1600,200.1944,200.1328,3077.3611,0.0000,0.0000,23.5324
29.2800,200.1922,200.1379,3077.3611,8.4000,0.0000,23.8001
29.4000,200.1900,200.1430,3077.3611,16.8000,0.0000,24.3475
29.5200,200.1877,200.1481,3077.3611,0.0000,0.0000,24.3475
29.6400,200.1858,200.1522,3077.3611,0.0000,0.0000,24.3475
29.7600,200.1836,200.1570,3077.3611,0.0000,0.0000,24.3475
29.8800,200.1815,200.1617,3077.3611,8.4000,0.0000,24.6337
30.0000,200.1793,200.1665,3077.3611,0.0000,0.0000,24.6337
30.1200,200.1771,200.1712,3077.3611,8.4000,0.0000,24.9199
30.2400,200.1749,200.1760,3077.3611,0.0000,0.0000,24.9199
30.3600,200.1727,200.1807,3077.3611,0.0000,0.0000,24.9199
30.4800,200.1705,200.1854,3077.3611,0.0000,0.0000,24.9199
30.6000,200.1680,200.1908,3077.3611,8.4000,0.0000,25.1714
30.7200,200.1655,200.1962,3077.3611,16.8000,0.0000,25.6857
30.8400,200.1629,200.2016,3077.3611,0.0000,0.0000,25.6857
30.9600,200.1604,200.2069,3077.3611,8.4000,0.0000,25.9372
31.0800,200.1578,200.2122,3077.3611,16.8000,0.0000,26.4514
31.2000,200.1551,200.2176,3077.3611,25.2000,0.0000,27.2529
31.3200,200.1524,200.2228,3077.3611,0.0000,0.0000,27.2529
31.4400,200.1497,200.2281,3077.3611,0.0000,0.0000,27.2529
31.5600,200.1475,200.2324,3077.3611,0.0000,0.0000,27.2529
31.6800,200.1454,200.2364,3077.3611,0.0000,0.0000,27.2529
31.8000,200.1433,200.2404,3077.3611,8.4000,0.0000,27.5849
31.9200,200.1413,200.2444,3077.3611,0.0000,0.0000,27.5849
32.0400,200.1392,200.2484,3077.3611,0.0000,0.0000,27.5849
32.1600,200.1371,200.2524,3077.3611,0.0000,0.0000,27.5849
32.2800,200.1350,200.2564,3077.3611,0.0000,0.0000,27.5849
32.4000,200.1326,200.2610,3077.3611,0.0000,0.0000,27.5849
32.5200,200.1298,200.2663,3077.3611,0.0000,0.0000,27.5849
32.6400,200.1268,200.2722,3077.3611,0.0000,0.0000,27.5849
32.7600,200.1242,200.2771,3077.3611,0.0000,0.0000,27.5849
32.8800,200.1216,200.2821,3077.3611,0.0000,0.0000,27.5849
33.0000,200.1190,200.2870,3077.3611,8.4000,0.0000,27.8527
33.1200,200.1164,200.2920,3077.3611,0.0000,0.0000,27.8527
33.2400,200.1143,200.2959,3077.3611,0.0000,0.0000,27.8527
33.3600,200.1122,200.2999,3077.3611,0.0000,0.0000,27.8527
33.4800,200.1101,200.3039,3077.3611,8.4000,0.0000,28.1847
33.6000,200.1080,200.3079,3077.3611,0.0000,0.0000,28.1847
33.7200,200.1055,200.3125,3077.3611,0.0000,0.0000,28.1847
33.8400,200.1030,200.3171,3077.3611,0.0000,0.0000,28.1847
33.9600,200.1002,200.3223,3077.3611,0.0000,0.0000,28.1847
34.0800,200.0971,200.3282,3077.3611,0.0000,0.0000,28.1847
34.2000,200.0944,200.3331,3077.3611,0.0000,0.0000,28.1847
