# Longitude, Latitude, Altitude, Roll, Pitch, Yaw
93.8475,142.7117,609.9889,1.5708,1.2217,-6.0497
92.8759,146.7977,609.9889,1.5708,1.2217,-6.1139
92.1009,151.3320,609.9889,1.5708,1.2217,-6.1725
91.5928,155.9038,609.9889,1.5708,1.2217,-6.2311
91.3533,160.4976,609.9889,1.5708,1.2217,-0.0065
91.3832,165.0975,609.9889,1.5708,1.2217,-0.0651
91.6824,169.6878,609.9889,1.5708,1.2217,-0.1237
92.2499,174.2526,609.9889,1.5708,1.2217,-0.1823
93.1563,179.1698,609.9889,1.5708,1.2217,-0.2362
94.1858,183.4476,609.9889,1.5708,1.2217,-0.2974
95.5926,188.0369,609.9889,1.5708,1.2217,-0.3536
97.0469,191.9770,609.9889,1.5708,1.2217,-0.4178
98.9133,196.1814,609.9889,1.5708,1.2217,-0.4764
101.0226,200.2693,609.9889,1.5708,1.2217,-0.5350
103.3676,204.2266,609.9889,1.5708,1.2217,-0.5935
105.9404,208.0399,609.9889,1.5708,1.2217,-0.6521
108.9749,212.0138,609.9889,1.5708,1.2217,-0.7060
112.4785,216.1229,609.9889,1.5708,1.2217,-0.7560
115.7713,219.6154,609.9889,1.5708,1.2217,-0.8121
119.2548,222.9177,609.9889,1.5708,1.2217,-0.8683
123.2235,226.2777,609.9889,1.5708,1.2217,-0.9201
127.6792,229.6699,609.9889,1.5708,1.2217,-0.9682
131.7986,232.5037,609.9889,1.5708,1.2217,-1.0221
136.0647,235.1115,609.9889,1.5708,1.2217,-1.0760
140.8171,237.6755,609.9889,1.5708,1.2217,-1.1259
146.0526,240.1714,609.9889,1.5708,1.2217,-1.1724
151.3984,242.4214,609.9889,1.5708,1.2217,-1.2189
156.8430,244.4206,609.9889,1.5708,1.2217,-1.2654
162.3745,246.1647,609.9889,1.5708,1.2217,-1.3118
167.9811,247.6500,609.9889,1.5708,1.2217,-1.3583
173.6506,248.8733,609.9889,1.5708,1.2217,-1.4048
178.7791,249.7327,609.9889,1.5708,1.2217,-1.4566
183.9453,250.3252,609.9889,1.5708,1.2217,-1.5084
189.5344,250.6742,609.9889,1.5708,1.2217,-1.5566
195.5338,250.7596,609.9889,1.5708,1.2217,-1.6015
201.9307,250.5633,609.9889,1.5708,1.2217,-1.6436
208.3138,250.0978,609.9889,1.5708,1.2217,-1.6857
215.0689,249.3181,609.9889,1.5708,1.2217,-1.7253
221.7879,248.2713,609.9889,1.5708,1.2217,-1.7650
228.4601,246.9592,609.9889,1.5708,1.2217,-1.8046
235.0751,245.3836,609.9889,1.5708,1.2217,-1.8443
241.6224,243.5472,609.9889,1.5708,1.2217,-1.8839
248.0918,241.4528,609.9889,1.5708,1.2217,-1.9235
254.6608,239.0345,609.9889,1.5708,1.2217,-1.9620
260.5772,236.5940,609.9889,1.5708,1.2217,-2.0041
265.8411,234.1585,609.9889,1.5708,1.2217,-2.0506
270.4539,231.7581,609.9889,1.5708,1.2217,-2.1024
275.2810,228.9191,609.9889,1.5708,1.2217,-2.1506
279.4639,226.1799,609.9889,1.5708,1.2217,-2.2045
283.4931,223.2193,609.9889,1.5708,1.2217,-2.2584
286.8933,220.4267,609.9889,1.5708,1.2217,-2.3196
290.4092,217.1589,609.9889,1.5708,1.2217,-2.3758
293.3203,214.1314,609.9889,1.5708,1.2217,-2.4400
296.2894,210.6180,609.9889,1.5708,1.2217,-2.4986
299.2875,206.6166,609.9889,1.5708,1.2217,-2.5525
302.0657,202.4594,609.9889,1.5708,1.2217,-2.6064
304.3098,198.6747,609.9889,1.5708,1.2217,-2.6676
306.0442,195.2936,609.9889,1.5708,1.2217,-2.7386
307.5346,191.7981,609.9889,1.5708,1.2217,-2.8095
308.9039,187.8276,609.9889,1.5708,1.2217,-2.8737
310.0158,183.7774,609.9889,1.5708,1.2217,-2.9378
310.8657,179.6643,609.9889,1.5708,1.2217,-3.0020
311.4501,175.5052,609.9889,1.5708,1.2217,-3.0662
311.7665,171.3171,609.9889,1.5708,1.2217,-3.1304
311.8137,167.1174,609.9889,1.5708,1.2217,-3.1945
311.5915,162.9233,609.9889,1.5708,1.2217,-3.2587
311.0540,158.3548,609.9889,1.5708,1.2217,-3.3173
310.1800,153.4318,609.9889,1.5708,1.2217,-3.3712
309.1786,149.1472,609.9889,1.5708,1.2217,-3.4325
308.0889,145.5068,609.9889,1.5708,1.2217,-3.5034
