# Longitude, Latitude, Altitude, Roll, Pitch, Yaw
181.0285,787.7168,759.5365,1.5708,0.0000,-3.7044
178.3607,783.4881,759.5365,1.5708,0.0000,-3.7044
175.6928,779.2593,759.5365,1.5708,0.0000,-3.7044
173.0249,775.0305,759.5365,1.5708,0.0000,-3.7044
170.3571,770.8017,759.5365,1.5708,0.0000,-3.7044
167.6892,766.5730,759.5365,1.5708,0.0000,-3.7044
165.0213,762.3442,759.5365,1.5708,0.0000,-3.7044
162.3534,758.1154,759.5365,1.5708,0.0000,-3.7044
159.6856,753.8867,759.5365,1.5708,0.0000,-3.7044
157.0177,749.6579,759.5365,1.5708,0.0000,-3.7044
154.3498,745.4291,759.5365,1.5708,0.0000,-3.7044
151.6820,741.2004,759.5365,1.5708,0.0000,-3.7044
149.0141,736.9716,759.5365,1.5708,0.0000,-3.7044
146.3462,732.7428,759.5365,1.5708,0.0000,-3.7044
143.6784,728.5141,759.5365,1.5708,0.0000,-3.7044
141.0105,724.2853,759.5365,1.5708,0.0000,-3.7044
138.3426,720.0565,759.5365,1.5708,0.0000,-3.7044
135.6748,715.8278,759.5365,1.5708,0.0000,-3.7044
133.0069,711.5990,759.5365,1.5708,0.0000,-3.7044
130.3390,707.3702,759.5365,1.5708,0.0000,-3.7044
127.6711,703.1415,759.5365,1.5708,0.0000,-3.7044
125.0033,698.9127,759.5365,1.5708,0.0000,-3.7044
122.3354,694.6839,759.5365,1.5708,0.0000,-3.7044
119.6675,690.4552,759.5365,1.5708,0.0000,-3.7044
116.9997,686.2264,759.5365,1.5708,0.0000,-3.7044
114.3318,681.9976,759.5365,1.5708,0.0000,-3.7044
111.6639,677.7689,759.5365,1.5708,0.0000,-3.7044
108.9961,673.5401,759.5365,1.5708,0.0000,-3.7044
106.3282,669.3113,759.5365,1.5708,0.0000,-3.7044
103.6603,665.0826,759.5365,1.5708,0.0000,-3.7044
100.9924,660.8538,759.5365,1.5708,0.0000,-3.7044
98.3246,656.6250,759.5365,1.5708,0.0000,-3.7044
95.6567,652.3963,759.5365,1.5708,0.0000,-3.7044
92.9888,648.1675,759.5365,1.5708,0.0000,-3.7044
90.3210,643.9387,759.5365,1.5708,0.0000,-3.7044
87.6531,639.7100,759.5365,1.5708,0.0000,-3.7044
84.9852,635.4812,759.5365,1.5708,0.0000,-3.7044
82.3174,631.2524,759.5365,1.5708,0.0000,-3.7044
79.6495,627.0237,759.5365,1.5708,0.0000,-3.7044
76.9816,622.7949,759.5365,1.5708,0.0000,-3.7044
74.3137,618.5661,759.5365,1.5708,0.0000,-3.7044
71.6459,614.3374,759.5365,1.5708,0.0000,-3.7044
68.9780,610.1086,759.5365,1.5708,0.0000,-3.7044
66.3101,605.8798,759.5365,1.5708,0.0000,-3.7044
63.6423,601.6511,759.5365,1.5708,0.0000,-3.7044
60.9744,597.4223,759.5365,1.5708,0.0000,-3.7044
58.3065,593.1935,759.5365,1.5708,0.0000,-3.7044
55.6387,588.9648,759.5365,1.5708,0.0000,-3.7044
52.9708,584.7360,759.5365,1.5708,0.0000,-3.7044
50.3029,580.5072,759.5365,1.5708,0.0000,-3.7044
47.6350,576.2785,759.5365,1.5708,0.0000,-3.7044
44.9672,572.0497,759.5365,1.5708,0.0000,-3.7044
42.2993,567.8209,759.5365,1.5708,0.0000,-3.7044
39.6314,563.5922,759.5365,1.5708,0.0000,-3.7044
36.9636,559.3634,759.5365,1.5708,0.0000,-3.7044
34.2957,555.1346,759.5365,1.5708,0.0000,-3.7044
31.6278,550.9059,759.5365,1.5708,0.0000,-3.7044
28.9600,546.6771,759.5365,1.5708,0.0000,-3.7044
26.2921,542.4483,759.5365,1.5708,0.0000,-3.7044
23.6242,538.2196,759.5365,1.5708,0.0000,-3.7044
20.9563,533.9908,759.5365,1.5708,0.0000,-3.7044
18.2885,529.7620,759.5365,1.5708,0.0000,-3.7044
15.6206,525.5333,759.5365,1.5708,0.0000,-3.7044
12.9527,521.3045,759.5365,1.5708,0.0000,-3.7044
10.2849,517.0757,759.5365,1.5708,0.0000,-3.7044
7.6170,512.8470,759.5365,1.5708,0.0000,-3.7044
4.9491,508.6182,759.5365,1.5708,0.0000,-3.7044
2.2813,504.3894,759.5365,1.5708,0.0000,-3.7044
-0.3866,500.1607,759.5365,1.5708,0.0000,3.7044
2.2813,495.9319,759.5365,1.5708,0.0000,-2.5788
4.9491,491.7031,759.5365,1.5708,0.0000,-2.5788
7.6170,487.4744,759.5365,1.5708,0.0000,-2.5788
10.2849,483.2456,759.5365,1.5708,0.0000,-2.5788
12.9527,479.0168,759.5365,1.5708,0.0000,-2.5788
15.6206,474.7881,759.5365,1.5708,0.0000,-2.5788
18.2885,470.5593,759.5365,1.5708,0.0000,-2.5788
20.9563,466.3305,759.5365,1.5708,0.0000,-2.5788
23.6242,462.1018,759.5365,1.5708,0.0000,-2.5788
26.2921,457.8730,759.5365,1.5708,0.0000,-2.5788
28.9600,453.6442,759.5365,1.5708,0.0000,-2.5788
31.6278,449.4155,759.5365,1.5708,0.0000,-2.5788
34.2957,445.1867,759.5365,1.5708,0.0000,-2.5788
36.9636,440.9579,759.5365,1.5708,0.0000,-2.5788
39.6314,436.7292,759.5365,1.5708,0.0000,-2.5788
42.2993,432.5004,759.5365,1.5708,0.0000,-2.5788
44.9672,428.2716,759.5365,1.5708,0.0000,-2.5788
47.6350,424.0429,759.5365,1.5708,0.0000,-2.5788
50.3029,419.8141,759.5365,1.5708,0.0000,-2.5788
52.9708,415.5853,759.5365,1.5708,0.0000,-2.5788
55.6387,411.3566,759.5365,1.5708,0.0000,-2.5788
58.3065,407.1278,759.5365,1.5708,0.0000,-2.5788
60.9744,402.8990,759.5365,1.5708,0.0000,-2.5788
63.6423,398.6703,759.5365,1.5708,0.0000,-2.5788
66.3101,394.4415,759.5365,1.5708,0.0000,-2.5788
68.9780,390.2127,759.5365,1.5708,0.0000,-2.5788
71.6459,385.9840,759.5365,1.5708,0.0000,-2.5788
74.3137,381.7552,759.5365,1.5708,0.0000,-2.5788
76.9816,377.5264,759.5365,1.5708,0.0000,-2.5788
79.6495,373.2977,759.5365,1.5708,0.0000,-2.5788
82.3174,369.0689,759.5365,1.5708,0.0000,-2.5788
84.9852,364.8401,759.5365,1.5708,0.0000,-2.5788
87.6531,360.6114,759.5365,1.5708,0.0000,-2.5788
90.3210,356.3826,759.5365,1.5708,0.0000,-2.5788
92.9888,352.1538,759.5365,1.5708,0.0000,-2.5788
95.6567,347.9251,759.5365,1.5708,0.0000,-2.5788
98.3246,343.6963,759.5365,1.5708,0.0000,-2.5788
100.9924,339.4675,759.5365,1.5708,0.0000,-2.5788
103.6603,335.2388,759.5365,1.5708,0.0000,-2.5788
106.3282,331.0100,759.5365,1.5708,0.0000,-2.5788
108.9961,326.7812,759.5365,1.5708,0.0000,-2.5788
111.6639,322.5524,759.5365,1.5708,0.0000,-2.5788
114.3318,318.3237,759.5365,1.5708,0.0000,-2.5788
